@relation Ambiente2

@attribute Estado {MANHA,TARDE,NOITE}
@attribute Farol {LIGADO,DESLIGADO}
@attribute Desempenho {RUIM,MEDIO,BOM}

@data
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
