@relation Ambiente

@attribute Desempenho {RUIM,MEDIO,BOM}
@attribute Estado {VERDE,AMARELO,VERMELHO}
@attribute Sensor {NENHUM,FRONTAL,DIREITO,ESQUERDO,FRONTALDIREITO,FRONTALESQUERDO,DIREITAESQUERDA,TODOS}
@attribute Acao {ACELERAR,FREAR,PARAR}

@data
BOM,VERMELHO,DIREITO,PARAR
BOM,VERMELHO,DIREITO,PARAR
BOM,VERDE,FRONTAL,ACELERAR
BOM,AMARELO,DIREITAESQUERDA,FREAR
BOM,VERDE,NENHUM,ACELERAR
BOM,VERDE,NENHUM,ACELERAR
BOM,AMARELO,FRONTALESQUERDO,FREAR
BOM,VERMELHO,TODOS,PARAR
BOM,VERDE,NENHUM,ACELERAR
BOM,VERMELHO,ESQUERDO,PARAR
BOM,VERDE,FRONTALESQUERDO,ACELERAR
BOM,VERMELHO,DIREITAESQUERDA,PARAR
BOM,VERDE,DIREITAESQUERDA,ACELERAR
BOM,AMARELO,FRONTALDIREITO,FREAR
BOM,VERDE,DIREITO,ACELERAR
BOM,VERMELHO,FRONTALESQUERDO,PARAR
BOM,VERMELHO,DIREITAESQUERDA,PARAR
BOM,AMARELO,FRONTALDIREITO,FREAR
BOM,VERMELHO,FRONTAL,PARAR
BOM,AMARELO,NENHUM,FREAR
BOM,VERMELHO,FRONTAL,PARAR
BOM,AMARELO,TODOS,PARAR
BOM,VERDE,FRONTAL,ACELERAR
BOM,VERDE,NENHUM,ACELERAR
BOM,AMARELO,TODOS,PARAR
BOM,VERDE,FRONTAL,ACELERAR
BOM,VERMELHO,ESQUERDO,PARAR
BOM,VERDE,FRONTAL,ACELERAR
BOM,AMARELO,DIREITO,FREAR
BOM,VERMELHO,FRONTAL,PARAR
BOM,AMARELO,FRONTALESQUERDO,FREAR
BOM,AMARELO,DIREITO,FREAR
BOM,VERDE,DIREITO,ACELERAR
BOM,VERMELHO,FRONTALESQUERDO,PARAR
BOM,AMARELO,DIREITAESQUERDA,FREAR
BOM,VERMELHO,FRONTAL,PARAR
BOM,VERMELHO,NENHUM,PARAR
BOM,VERDE,DIREITO,ACELERAR
BOM,VERDE,FRONTAL,ACELERAR
BOM,VERMELHO,ESQUERDO,PARAR
BOM,VERDE,NENHUM,ACELERAR
BOM,AMARELO,FRONTAL,FREAR
BOM,VERDE,DIREITO,ACELERAR
BOM,VERMELHO,DIREITAESQUERDA,PARAR
BOM,AMARELO,FRONTAL,FREAR
BOM,VERDE,FRONTAL,ACELERAR
BOM,VERMELHO,DIREITAESQUERDA,PARAR
BOM,VERMELHO,NENHUM,PARAR
BOM,VERMELHO,DIREITAESQUERDA,PARAR
BOM,VERDE,NENHUM,ACELERAR
BOM,VERDE,DIREITO,ACELERAR
BOM,VERDE,FRONTAL,ACELERAR
BOM,AMARELO,NENHUM,FREAR
BOM,AMARELO,FRONTALESQUERDO,FREAR
BOM,AMARELO,FRONTAL,FREAR
BOM,VERDE,NENHUM,ACELERAR
BOM,VERMELHO,FRONTAL,PARAR
BOM,VERDE,DIREITAESQUERDA,ACELERAR
BOM,VERMELHO,TODOS,PARAR
BOM,VERMELHO,FRONTAL,PARAR
BOM,VERDE,DIREITO,ACELERAR
BOM,VERDE,TODOS,PARAR
BOM,AMARELO,FRONTAL,FREAR
BOM,VERDE,NENHUM,ACELERAR
BOM,AMARELO,FRONTAL,FREAR
BOM,VERDE,ESQUERDO,ACELERAR
BOM,VERDE,NENHUM,ACELERAR
BOM,VERMELHO,FRONTAL,PARAR
BOM,AMARELO,DIREITAESQUERDA,FREAR
BOM,VERMELHO,DIREITO,PARAR
BOM,AMARELO,FRONTAL,FREAR
BOM,VERMELHO,ESQUERDO,PARAR
BOM,VERDE,TODOS,PARAR
BOM,VERMELHO,NENHUM,PARAR
BOM,AMARELO,FRONTALESQUERDO,FREAR
BOM,VERMELHO,DIREITO,PARAR
BOM,VERDE,NENHUM,ACELERAR
BOM,AMARELO,DIREITAESQUERDA,FREAR
BOM,VERMELHO,NENHUM,PARAR
BOM,VERMELHO,DIREITO,PARAR
BOM,VERDE,DIREITO,ACELERAR
BOM,AMARELO,FRONTAL,FREAR
BOM,VERDE,TODOS,PARAR
BOM,AMARELO,ESQUERDO,FREAR
BOM,AMARELO,TODOS,PARAR
BOM,VERDE,FRONTALESQUERDO,ACELERAR
BOM,VERMELHO,FRONTALESQUERDO,PARAR
BOM,AMARELO,DIREITO,FREAR
BOM,VERMELHO,FRONTAL,PARAR
BOM,VERDE,NENHUM,ACELERAR
BOM,VERMELHO,NENHUM,PARAR
BOM,AMARELO,FRONTAL,FREAR
BOM,AMARELO,DIREITO,FREAR
BOM,AMARELO,NENHUM,FREAR
BOM,VERDE,DIREITAESQUERDA,ACELERAR
BOM,VERDE,FRONTAL,ACELERAR
BOM,VERMELHO,DIREITO,PARAR
BOM,VERMELHO,FRONTAL,PARAR
BOM,VERMELHO,FRONTAL,PARAR
BOM,VERDE,FRONTAL,ACELERAR
BOM,VERMELHO,NENHUM,PARAR
BOM,VERDE,FRONTALDIREITO,ACELERAR
BOM,AMARELO,FRONTALDIREITO,FREAR
BOM,AMARELO,FRONTAL,FREAR
BOM,AMARELO,FRONTAL,FREAR
BOM,VERMELHO,FRONTALDIREITO,PARAR
BOM,VERMELHO,FRONTAL,PARAR
BOM,AMARELO,DIREITO,FREAR
BOM,VERDE,FRONTAL,ACELERAR
BOM,AMARELO,NENHUM,FREAR
BOM,AMARELO,FRONTAL,FREAR
BOM,VERMELHO,NENHUM,PARAR
BOM,VERDE,TODOS,PARAR
BOM,AMARELO,NENHUM,FREAR
BOM,VERMELHO,DIREITAESQUERDA,PARAR
BOM,AMARELO,DIREITAESQUERDA,FREAR
BOM,AMARELO,DIREITAESQUERDA,FREAR
BOM,VERMELHO,ESQUERDO,PARAR
BOM,AMARELO,FRONTALDIREITO,FREAR
BOM,VERMELHO,NENHUM,PARAR
BOM,VERDE,FRONTAL,ACELERAR
BOM,AMARELO,TODOS,PARAR
BOM,AMARELO,ESQUERDO,FREAR
BOM,VERDE,FRONTAL,ACELERAR
BOM,VERDE,NENHUM,ACELERAR
BOM,VERDE,DIREITAESQUERDA,ACELERAR
BOM,VERDE,DIREITO,ACELERAR
