@relation Ambiente

@attribute Estado {VERDE,AMARELO,VERMELHO}
@attribute Acao {ACELERAR,FREAR,PARAR}
@attribute Desempenho {RUIM,MEDIO,BOM}
@attribute Obstaculo numeric
@attribute Sensor numeric

@data
VERMELHO,ACELERAR,RUIM,572,0
AMARELO,PARAR,MEDIO,98,0
AMARELO,ACELERAR,RUIM,721,1
VERDE,PARAR,MEDIO,76,1
VERMELHO,PARAR,BOM,194,0
VERDE,PARAR,MEDIO,964,1
VERMELHO,ACELERAR,RUIM,523,0
AMARELO,FREAR,BOM,756,1
AMARELO,PARAR,MEDIO,636,0
AMARELO,FREAR,BOM,273,0
VERDE,PARAR,MEDIO,591,1
VERDE,ACELERAR,RUIM,297,1
AMARELO,PARAR,MEDIO,566,0
VERDE,FREAR,BOM,721,1
AMARELO,PARAR,MEDIO,615,0
VERDE,PARAR,RUIM,154,0
VERMELHO,ACELERAR,RUIM,669,1
VERDE,ACELERAR,RUIM,856,1
VERDE,FREAR,BOM,245,1
VERDE,PARAR,MEDIO,941,1
VERDE,ACELERAR,RUIM,978,1
VERDE,FREAR,MEDIO,543,0
VERDE,FREAR,BOM,334,1
VERDE,FREAR,MEDIO,724,0
AMARELO,FREAR,BOM,917,1
VERDE,ACELERAR,RUIM,886,1
VERMELHO,FREAR,BOM,263,1
VERMELHO,FREAR,BOM,512,1
AMARELO,FREAR,BOM,690,0
AMARELO,PARAR,MEDIO,972,0
AMARELO,FREAR,BOM,322,1
VERDE,FREAR,BOM,399,1
AMARELO,PARAR,MEDIO,766,1
VERDE,ACELERAR,RUIM,579,1
VERDE,PARAR,MEDIO,688,1
VERMELHO,ACELERAR,RUIM,880,1
VERMELHO,FREAR,MEDIO,448,0
AMARELO,ACELERAR,RUIM,279,1
VERMELHO,PARAR,BOM,31,0
VERMELHO,PARAR,MEDIO,4,1
VERMELHO,FREAR,MEDIO,723,0
VERMELHO,ACELERAR,RUIM,510,0
VERDE,PARAR,MEDIO,732,1
VERDE,FREAR,BOM,406,1
AMARELO,PARAR,MEDIO,562,0
VERDE,PARAR,RUIM,801,0
VERDE,ACELERAR,RUIM,984,1
VERMELHO,FREAR,BOM,850,1
AMARELO,ACELERAR,MEDIO,353,0
AMARELO,ACELERAR,MEDIO,384,0
