@relation Ambiente

@attribute Estado {MANHA,TARDE,NOITE}
@attribute Farol {LIGADO,DESLIGADO}
@attribute Desempenho {RUIM,MEDIO,BOM}

@data
NOITE,LIGADO,BOM
NOITE,DESLIGADO,RUIM
TARDE,LIGADO,MEDIO
NOITE,DESLIGADO,RUIM
NOITE,LIGADO,BOM
TARDE,LIGADO,MEDIO
MANHA,DESLIGADO,BOM
NOITE,LIGADO,BOM
TARDE,DESLIGADO,BOM
NOITE,DESLIGADO,RUIM
TARDE,LIGADO,MEDIO
NOITE,DESLIGADO,RUIM
NOITE,DESLIGADO,RUIM
NOITE,LIGADO,BOM
NOITE,LIGADO,BOM
TARDE,DESLIGADO,BOM
NOITE,LIGADO,BOM
NOITE,LIGADO,BOM
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
MANHA,DESLIGADO,BOM
TARDE,LIGADO,MEDIO
TARDE,DESLIGADO,BOM
MANHA,LIGADO,RUIM
TARDE,LIGADO,MEDIO
NOITE,LIGADO,BOM
TARDE,DESLIGADO,BOM
NOITE,DESLIGADO,RUIM
NOITE,DESLIGADO,RUIM
NOITE,DESLIGADO,RUIM
NOITE,LIGADO,BOM
NOITE,LIGADO,BOM
NOITE,DESLIGADO,RUIM
NOITE,LIGADO,BOM
NOITE,DESLIGADO,RUIM
MANHA,LIGADO,RUIM
MANHA,LIGADO,RUIM
MANHA,LIGADO,RUIM
TARDE,DESLIGADO,BOM
NOITE,DESLIGADO,RUIM
TARDE,DESLIGADO,BOM
NOITE,LIGADO,BOM
NOITE,DESLIGADO,RUIM
NOITE,LIGADO,BOM
TARDE,DESLIGADO,BOM
TARDE,DESLIGADO,BOM
TARDE,LIGADO,MEDIO
TARDE,LIGADO,MEDIO
NOITE,DESLIGADO,RUIM
NOITE,DESLIGADO,RUIM
TARDE,LIGADO,MEDIO
MANHA,DESLIGADO,BOM
TARDE,DESLIGADO,BOM
TARDE,LIGADO,MEDIO
NOITE,LIGADO,BOM
TARDE,DESLIGADO,BOM
MANHA,LIGADO,RUIM
TARDE,LIGADO,MEDIO
NOITE,DESLIGADO,RUIM
TARDE,DESLIGADO,BOM
NOITE,LIGADO,BOM
NOITE,LIGADO,BOM
NOITE,LIGADO,BOM
TARDE,DESLIGADO,BOM
TARDE,DESLIGADO,BOM
NOITE,DESLIGADO,RUIM
TARDE,DESLIGADO,BOM
MANHA,LIGADO,RUIM
NOITE,DESLIGADO,RUIM
NOITE,DESLIGADO,RUIM
TARDE,DESLIGADO,BOM
TARDE,DESLIGADO,BOM
MANHA,LIGADO,RUIM
MANHA,LIGADO,RUIM
TARDE,DESLIGADO,BOM
MANHA,LIGADO,RUIM
