@relation Ambiente

@attribute Estado {VERDE,AMARELO,VERMELHO}
@attribute Acao {ACELERAR,FREAR,PARAR}
@attribute Desempenho {RUIM,MEDIO,BOM}
@attribute Obstaculo numeric
@attribute Sensor numeric

@data
VERDE,ACELERAR,RUIM,632,1
VERMELHO,PARAR,MEDIO,351,1
VERDE,ACELERAR,RUIM,195,1
VERMELHO,ACELERAR,RUIM,530,0
AMARELO,ACELERAR,MEDIO,967,0
AMARELO,PARAR,MEDIO,490,1
VERDE,ACELERAR,BOM,227,0
VERDE,FREAR,BOM,448,1
VERDE,ACELERAR,RUIM,403,1
AMARELO,ACELERAR,MEDIO,101,0
AMARELO,ACELERAR,MEDIO,804,0
VERDE,PARAR,MEDIO,717,1
VERDE,PARAR,MEDIO,130,1
VERDE,ACELERAR,RUIM,850,1
AMARELO,PARAR,MEDIO,63,0
AMARELO,ACELERAR,MEDIO,130,0
VERDE,PARAR,MEDIO,586,1
AMARELO,ACELERAR,MEDIO,181,0
AMARELO,ACELERAR,RUIM,114,1
VERDE,FREAR,MEDIO,383,0
AMARELO,ACELERAR,MEDIO,22,0
VERMELHO,FREAR,MEDIO,861,0
AMARELO,PARAR,MEDIO,851,1
AMARELO,PARAR,MEDIO,311,0
VERDE,FREAR,MEDIO,441,0
VERDE,PARAR,RUIM,322,0
AMARELO,FREAR,BOM,514,0
VERDE,FREAR,BOM,967,1
VERDE,FREAR,MEDIO,808,0
VERMELHO,ACELERAR,RUIM,876,1
VERDE,FREAR,BOM,298,1
AMARELO,PARAR,MEDIO,238,0
VERMELHO,ACELERAR,RUIM,787,0
VERDE,FREAR,MEDIO,608,0
VERMELHO,FREAR,BOM,551,1
VERDE,ACELERAR,BOM,972,0
VERMELHO,ACELERAR,RUIM,443,1
VERMELHO,PARAR,MEDIO,701,1
AMARELO,FREAR,BOM,319,1
AMARELO,PARAR,MEDIO,254,1
VERDE,FREAR,BOM,67,1
AMARELO,PARAR,MEDIO,666,0
AMARELO,PARAR,MEDIO,316,1
AMARELO,FREAR,BOM,943,0
VERMELHO,FREAR,BOM,977,1
VERMELHO,ACELERAR,RUIM,176,1
AMARELO,PARAR,MEDIO,151,1
VERDE,FREAR,BOM,655,1
VERMELHO,PARAR,BOM,61,0
VERDE,FREAR,BOM,764,1
AMARELO,FREAR,BOM,989,1
VERDE,PARAR,RUIM,430,0
AMARELO,PARAR,MEDIO,920,1
VERDE,ACELERAR,BOM,28,0
AMARELO,FREAR,BOM,4,1
VERDE,FREAR,BOM,968,1
VERDE,ACELERAR,BOM,21,0
VERDE,FREAR,BOM,776,1
AMARELO,FREAR,BOM,350,1
VERMELHO,FREAR,BOM,121,1
VERMELHO,PARAR,MEDIO,258,1
AMARELO,FREAR,BOM,306,1
VERMELHO,FREAR,MEDIO,19,0
VERMELHO,PARAR,MEDIO,81,1
AMARELO,ACELERAR,RUIM,510,1
VERMELHO,PARAR,BOM,373,0
AMARELO,PARAR,MEDIO,25,1
VERDE,ACELERAR,RUIM,904,1
AMARELO,ACELERAR,MEDIO,691,0
AMARELO,FREAR,BOM,424,1
VERMELHO,FREAR,BOM,470,1
AMARELO,PARAR,MEDIO,722,0
AMARELO,PARAR,MEDIO,955,0
AMARELO,ACELERAR,MEDIO,850,0
AMARELO,PARAR,MEDIO,459,0
AMARELO,ACELERAR,RUIM,690,1
VERMELHO,PARAR,BOM,486,0
AMARELO,ACELERAR,MEDIO,894,0
AMARELO,ACELERAR,RUIM,178,1
AMARELO,ACELERAR,RUIM,705,1
AMARELO,FREAR,BOM,905,0
AMARELO,PARAR,MEDIO,807,0
VERMELHO,PARAR,BOM,471,0
AMARELO,PARAR,MEDIO,287,0
VERMELHO,ACELERAR,RUIM,750,0
VERDE,FREAR,MEDIO,611,0
AMARELO,PARAR,MEDIO,641,1
AMARELO,PARAR,MEDIO,23,1
AMARELO,PARAR,MEDIO,986,1
VERDE,ACELERAR,BOM,883,0
VERMELHO,FREAR,MEDIO,880,0
AMARELO,ACELERAR,MEDIO,222,0
VERMELHO,PARAR,MEDIO,584,1
VERDE,FREAR,BOM,744,1
VERDE,FREAR,MEDIO,743,0
VERMELHO,PARAR,BOM,154,0
VERMELHO,FREAR,MEDIO,162,0
AMARELO,ACELERAR,MEDIO,661,0
VERDE,PARAR,RUIM,930,0
VERMELHO,PARAR,MEDIO,318,1
VERMELHO,PARAR,BOM,95,0
VERMELHO,FREAR,MEDIO,698,0
VERDE,FREAR,BOM,560,1
VERMELHO,FREAR,BOM,203,1
VERDE,FREAR,BOM,220,1
VERDE,ACELERAR,BOM,118,0
VERDE,ACELERAR,RUIM,64,1
VERDE,FREAR,BOM,287,1
VERDE,PARAR,RUIM,550,0
VERDE,FREAR,MEDIO,571,0
VERMELHO,ACELERAR,RUIM,199,1
VERDE,PARAR,MEDIO,977,1
VERMELHO,ACELERAR,RUIM,541,0
AMARELO,FREAR,BOM,733,0
AMARELO,FREAR,BOM,599,1
VERMELHO,FREAR,MEDIO,257,0
VERMELHO,PARAR,MEDIO,121,1
VERDE,FREAR,BOM,770,1
VERMELHO,PARAR,MEDIO,175,1
VERDE,PARAR,MEDIO,763,1
VERMELHO,FREAR,BOM,639,1
AMARELO,FREAR,BOM,689,1
VERMELHO,FREAR,MEDIO,777,0
AMARELO,ACELERAR,RUIM,843,1
VERMELHO,FREAR,MEDIO,35,0
VERMELHO,FREAR,BOM,885,1
VERDE,PARAR,MEDIO,373,1
VERMELHO,PARAR,MEDIO,81,1
AMARELO,PARAR,MEDIO,270,1
AMARELO,PARAR,MEDIO,49,0
VERDE,ACELERAR,BOM,425,0
VERDE,FREAR,MEDIO,285,0
AMARELO,ACELERAR,MEDIO,400,0
VERDE,ACELERAR,RUIM,429,1
VERDE,ACELERAR,RUIM,180,1
VERDE,PARAR,MEDIO,42,1
VERMELHO,PARAR,BOM,486,0
VERMELHO,PARAR,BOM,46,0
VERMELHO,PARAR,MEDIO,732,1
VERMELHO,FREAR,MEDIO,838,0
VERMELHO,FREAR,BOM,932,1
VERDE,ACELERAR,BOM,328,0
AMARELO,FREAR,BOM,406,0
VERDE,FREAR,BOM,310,1
AMARELO,ACELERAR,MEDIO,898,0
AMARELO,PARAR,MEDIO,7,1
VERMELHO,FREAR,MEDIO,901,0
VERDE,FREAR,MEDIO,285,0
VERDE,FREAR,BOM,617,1
VERMELHO,FREAR,BOM,175,1
VERDE,FREAR,BOM,985,1
VERMELHO,FREAR,MEDIO,413,0
VERMELHO,FREAR,BOM,533,1
VERDE,FREAR,BOM,178,1
AMARELO,ACELERAR,MEDIO,680,0
VERMELHO,ACELERAR,RUIM,11,1
AMARELO,PARAR,MEDIO,779,1
VERDE,PARAR,RUIM,42,0
AMARELO,PARAR,MEDIO,334,1
AMARELO,FREAR,BOM,797,0
VERDE,PARAR,MEDIO,955,1
AMARELO,FREAR,BOM,505,1
AMARELO,FREAR,BOM,975,0
VERMELHO,ACELERAR,RUIM,838,1
VERMELHO,PARAR,BOM,286,0
VERMELHO,ACELERAR,RUIM,790,0
VERMELHO,ACELERAR,RUIM,882,1
VERMELHO,PARAR,MEDIO,983,1
VERMELHO,FREAR,MEDIO,448,0
VERMELHO,PARAR,MEDIO,730,1
VERDE,FREAR,MEDIO,39,0
VERMELHO,ACELERAR,RUIM,30,1
VERMELHO,ACELERAR,RUIM,414,0
VERMELHO,ACELERAR,RUIM,77,0
AMARELO,PARAR,MEDIO,16,0
AMARELO,FREAR,BOM,321,1
VERMELHO,ACELERAR,RUIM,519,0
AMARELO,PARAR,MEDIO,948,0
VERDE,FREAR,MEDIO,75,0
AMARELO,PARAR,MEDIO,763,0
AMARELO,ACELERAR,MEDIO,821,0
VERMELHO,FREAR,MEDIO,421,0
AMARELO,FREAR,BOM,452,0
AMARELO,PARAR,MEDIO,932,1
AMARELO,PARAR,MEDIO,867,1
VERMELHO,FREAR,MEDIO,496,0
VERDE,FREAR,MEDIO,798,0
AMARELO,PARAR,MEDIO,875,0
AMARELO,PARAR,MEDIO,272,1
AMARELO,PARAR,MEDIO,422,1
VERDE,FREAR,MEDIO,274,0
VERDE,ACELERAR,RUIM,759,1
AMARELO,ACELERAR,RUIM,561,1
VERDE,PARAR,MEDIO,132,1
AMARELO,PARAR,MEDIO,772,0
VERMELHO,FREAR,MEDIO,464,0
VERDE,ACELERAR,BOM,433,0
AMARELO,ACELERAR,MEDIO,160,0
VERMELHO,ACELERAR,RUIM,99,1
AMARELO,FREAR,BOM,305,0
VERDE,ACELERAR,RUIM,203,1
VERMELHO,PARAR,BOM,233,0
VERMELHO,FREAR,BOM,784,1
VERMELHO,FREAR,MEDIO,744,0
AMARELO,FREAR,BOM,860,1
VERDE,FREAR,BOM,193,1
AMARELO,FREAR,BOM,773,1
VERDE,PARAR,RUIM,762,0
VERMELHO,ACELERAR,RUIM,69,0
VERDE,FREAR,BOM,405,1
VERDE,PARAR,RUIM,39,0
VERMELHO,PARAR,BOM,770,0
VERMELHO,PARAR,MEDIO,846,1
VERDE,ACELERAR,BOM,562,0
VERMELHO,ACELERAR,RUIM,299,1
AMARELO,FREAR,BOM,433,0
VERDE,PARAR,MEDIO,283,1
AMARELO,PARAR,MEDIO,433,1
VERMELHO,ACELERAR,RUIM,27,1
VERMELHO,PARAR,MEDIO,14,1
AMARELO,FREAR,BOM,777,0
VERMELHO,FREAR,MEDIO,26,0
VERDE,PARAR,MEDIO,16,1
AMARELO,PARAR,MEDIO,175,1
VERDE,PARAR,RUIM,143,0
VERMELHO,FREAR,BOM,67,1
AMARELO,PARAR,MEDIO,15,1
AMARELO,ACELERAR,MEDIO,332,0
VERMELHO,FREAR,BOM,976,1
VERMELHO,PARAR,MEDIO,937,1
AMARELO,PARAR,MEDIO,215,1
VERMELHO,PARAR,BOM,873,0
AMARELO,FREAR,BOM,78,1
VERMELHO,PARAR,MEDIO,411,1
AMARELO,FREAR,BOM,432,0
VERDE,PARAR,MEDIO,683,1
