@relation Ambiente3

@attribute Sensor {NENHUM,FRONTAL,DIREITO,ESQUERDO,FRONTALDIREITO,FRONTALESQUERDO,DIREITAESQUERDA,TODOS}
@attribute Volante {PARADO,DIREITA,ESQUERDA}
@attribute Desempenho {RUIM,MEDIO,BOM}

@data
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
DIREITO,ESQUERDA,MEDIO
ESQUERDO,DIREITA,MEDIO
ESQUERDO,DIREITA,MEDIO
